id;titlu;autor;gen;tip;numar_pagini_totale;status;imagine;procent;dataStart;dataFinish;scor;review
160;Five Survive;Holly Jackson;thriller;PAPERBACK;401;FINALIZATA;null;1.0;2024-09-02;2024-09-05;3.0;thriller
161;A Midwinter Promise;Lulu Taylor;;PAPERBACK;0;NECITITA;null;0.0;;;0.0;
162;Red Queen;Victoria Aveyard;;PAPERBACK;0;NECITITA;null;0.0;;;0.0;
163;Heartless;Marissa Mayer;YA;PAPERBACK;320;FINALIZATA;null;1.0;2024-09-05;2024-09-09;4.0;
164;Twisted Lies;Ana Huang;YA;PAPERBACK;423;FINALIZATA;null;1.0;2024-09-09;2024-09-10;4.0;smut
165;The Prisoner's Throne;Holly Black;YA;PAPERBACK;0;FINALIZATA;null;1.0;2024-09-09;2024-09-10;4.0;
166;Castelul din nori;Kerstin Gier;romance;PAPERBACK;390;FINALIZATA;null;1.0;2024-10-03;2024-10-28;4.0;
167;Once upon a broken hearh;Stephanie Garber;fantasy;PAPERBACK;0;FINALIZATA;null;1.0;2024-10-03;2024-10-28;5.0;idk how to put it
168;Powerless;Lauren Roberts;romance;PAPERBACK;528;FINALIZATA;null;1.0;2025-01-16;2025-01-18;5.0;
169;All the light we cannot see;Anthony Doerr;;PAPERBACK;0;NECITITA;null;0.0;;;0.0;
170;Left Overs;Stella Newman;;PAPERBACK;0;NECITITA;null;0.0;;;0.0;
171;It only happens in the movies;Lynn Painter;romance;PAPERBACK;410;FINALIZATA;null;1.0;2024-11-21;2024-11-23;5.0;
172;The Glass Girl;Kathleen Glasgow;;PAPERBACK;0;NECITITA;null;0.0;;;0.0;
173;Fata din turn;Katherine Arden;fantasy;PAPERBACK;480;FINALIZATA;null;1.0;2025-01-02;2025-01-05;4.0;
174;Anna Karenina;Leo Tolstoy;;PAPERBACK;0;NECITITA;null;0.0;;;0.0;
175;Viata invizibila a lui Addie LaRue;V. E. Schwab;history;PAPERBACK;512;FINALIZATA;null;1.0;2024-12-05;2024-12-30;4.0;
